Profiled target:  bin/c/so3_test (PID 45123, part 1)
  609,030,800  ???:ssht_dl_beta_risbo_eighth_table [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  414,433,440  ???:__muldc3 [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  392,869,110  ???:ssht_core_mw_lb_forward_sov_conv_sym [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  377,612,810  ???:ssht_core_mw_lb_forward_sov_conv_sym_ss [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  161,662,470  ???:ssht_core_mw_lb_inverse_sov_sym [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  146,401,280  ???:ssht_core_mw_lb_inverse_sov_sym_ss [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
  115,525,000  ???:ssht_dl_beta_risbo_fill_eighth2quarter_table [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   59,377,635  ???:ran2_dp [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   29,566,040  ???:so3_core_forward_via_ssht [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   18,897,200  ???:get_max_error [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   17,985,960  ???:so3_test_gen_flmn_complex [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   17,208,100  ???:so3_sampling_elmn2ind [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
   14,402,680  ???:so3_core_inverse_via_ssht [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    9,542,914  ???:main [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    7,662,060  ???:so3_core_forward_via_ssht_real [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    6,210,260  ???:so3_test_gen_flmn_real [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    5,349,440  ???:so3_sampling_elmn2ind_real [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    4,121,600  ???:ssht_sampling_elm2ind [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
    3,679,890  ???:so3_core_inverse_via_ssht_real [/home/mbue/Development/UCLCosmologyGroup/repos/so3/bin/c/so3_test]
